- [ ] https://job-boards.greenhouse.io/humeai/jobs/4775962008 | Hume AI | AI Researcher | NYC, San Jose, or Remote | posted: 2025-06-20
- [ ] https://helsing.ai/jobs/4676357101?gh_jid=4676357101 | Helsing | AI Research Engineer - Reinforcement Learning | Barcelona; Berlin; London; Munich; Paris | posted: 2025-09-17
- [ ] https://helsing.ai/jobs/4423924101?gh_jid=4423924101 | Helsing | AI Research Engineer - Robotics | Barcelona; Paris | posted: 2024-10-14
- [ ] https://helsing.ai/jobs/4516967101?gh_jid=4516967101 | Helsing | Deployed AI Engineer | Berlin; London; Munich; Paris; Stockholm; Tallinn | posted: 2025-01-13
- [ ] https://helsing.ai/jobs/4879386101?gh_jid=4879386101 | Helsing | HPC Systems Administrator | Munich | posted: 2026-06-01
- [ ] https://helsing.ai/jobs/4347030101?gh_jid=4347030101 | Helsing | Site Reliability Engineer | Berlin; London; Munich; Paris | posted: 2024-06-11
- [ ] https://traderepublic.com/en-de/about?jobId=7871261003&gh_jid=7871261003 | Trade Republic | Front Desk Agent | Headquarter | posted: 2026-08-14
- [ ] https://n26.com/en-eu/careers/positions/7758692?gh_jid=7758692 | N26 | Audit Operations Senior Manager | Berlin | posted: 2026-03-26
- [ ] https://n26.com/en-eu/careers/positions/8108866?gh_jid=8108866 | N26 | Backend Engineer - Agentic Platform | Barcelona | posted: 2026-08-08
- [ ] https://n26.com/en-eu/careers/positions/7992395?gh_jid=7992395 | N26 | Information Security Controls Manager - Cloud & AI Governance | Berlin | posted: 2026-06-15
- [ ] https://n26.com/en-eu/careers/positions/8138757?gh_jid=8138757 | N26 | IT Solutions Engineer - Google Cloud | Berlin, Vienna, Barcelona | posted: 2026-08-25
- [ ] https://n26.com/en-eu/careers/positions/7845575?gh_jid=7845575 | N26 | Senior AI & Automation Manager | Berlin | posted: 2026-04-28
- [ ] https://n26.com/en-eu/careers/positions/8063968?gh_jid=8063968 | N26 | Senior Business Audit Manager | Berlin | posted: 2026-07-16
- [ ] https://n26.com/en-eu/careers/positions/7996650?gh_jid=7996650 | N26 | Senior Product Manager - Operations Automation & Enablement (OAE) | Berlin | posted: 2026-06-10
- [ ] https://n26.com/en-eu/careers/positions/8002486?gh_jid=8002486 | N26 | Senior Site Reliability Engineer - Software Logistics | Barcelona | posted: 2026-06-12
- [ ] https://n26.com/en-eu/careers/positions/7866308?gh_jid=7866308 | N26 | Site Reliability Engineer - Data Platform | Barcelona | posted: 2026-04-29
- [ ] https://sumup.com/careers/positions/8644804002?gh_jid=8644804002 | SumUp | Agente di commercio / Procacciatore (P. IVA) – Settore pagamenti | Padua, Italy | posted: 2026-07-22
- [ ] https://sumup.com/careers/positions/8580040002?gh_jid=8580040002 | SumUp | Customer Support Agent | Amsterdam, Netherlands | posted: 2026-06-08
- [ ] https://sumup.com/careers/positions/8340138002?gh_jid=8340138002 | SumUp | Customer Support Agent- DE | Barcelona, Barcelona, Spain | posted: 2026-01-07
- [ ] https://sumup.com/careers/positions/8340156002?gh_jid=8340156002 | SumUp | Customer Support Agent- French | Barcelona, Barcelona, Spain | posted: 2026-01-13
- [ ] https://sumup.com/careers/positions/8340130002?gh_jid=8340130002 | SumUp | Customer Support Agent- IT | Barcelona, Barcelona, Spain | posted: 2026-01-13
- [ ] https://sumup.com/careers/positions/8340146002?gh_jid=8340146002 | SumUp | Customer Support Agent - Spanish and Portuguese | Barcelona, Barcelona, Spain | posted: 2026-01-13
- [ ] https://sumup.com/careers/positions/8530960002?gh_jid=8530960002 | SumUp | Engineering Manager - Edge AI | Berlin, Germany | posted: 2026-05-14
- [ ] https://sumup.com/careers/positions/8066192002?gh_jid=8066192002 | SumUp | Independent Sales Agents (ISA) -Merchant Services across the US | Arizona, United States; Atlanta, Georgia, United States; Colorado, United States; District of Columbia, United States; Florida, United States; Georgia, United States; Illinois, United States; Indiana, United States; Kansas, United States; Louisiana, United States; Michigan, United States; Minneapolis, Minnesota, United States; Missouri, United States; Nevada, United States; New Mexico, United States; North Carolina, United States; Ohio, United States; Oklahoma, United States; Oregon, United States; Pennsylvania, United States; South Carolina, United States; Tennessee, United States; Texas, United States; Utah, United States; Virginia, United States; Washington, United States; Wisconsin, United States | posted: 2025-07-13
- [ ] https://sumup.com/careers/positions/8690965002?gh_jid=8690965002 | SumUp | IT Operations Lead EU | Barcelona, Barcelona, Spain; Berlin, Germany | posted: 2026-08-12
- [ ] https://sumup.com/careers/positions/8705989002?gh_jid=8705989002 | SumUp | KYC Operations Agent with Spanish | Sofia, Bulgaria | posted: 2026-08-14
- [ ] https://sumup.com/careers/positions/8726158002?gh_jid=8726158002 | SumUp | Senior DevOps Engineer | Berlin, Germany | posted: 2026-08-18
- [ ] https://sumup.com/careers/positions/8174816002?gh_jid=8174816002 | SumUp | Zelfstandig B2B Sales Agent | Amsterdam, Netherlands | posted: 2025-09-19
- [ ] https://jobs.ashbyhq.com/forto/e6d3ffb9-56f6-432d-9c66-3376967fc9ef | Forto | Senior Site Reliability Engineer | Berlin | posted: 2026-04-16
- [ ] https://jobs.ashbyhq.com/photoroom/085eaa32-44fe-4928-8826-b48873823bfd | Photoroom | Head of GenAI Platform | Paris | posted: 2026-07-12
- [ ] https://jobs.ashbyhq.com/photoroom/e51e28e4-b740-44d6-922a-8a7b00a245a8 | Photoroom | Staff Product Manager, Agentic & AI Platform | Paris | posted: 2026-08-15
- [ ] https://job-boards.greenhouse.io/isomorphiclabs/jobs/6100340004 | Isomorphic Labs | Senior Security Engineer (AI Safety), London, Lausanne | Lausanne; London | posted: 2026-07-03
- [ ] https://job-boards.greenhouse.io/isomorphiclabs/jobs/6134265004 | Isomorphic Labs | Software Engineer (LLM Engineering), London | London | posted: 2026-08-04
- [ ] https://job-boards.eu.greenhouse.io/physicsx/jobs/4907382101 | PhysicsX | DevOps Lead | New York, United States | posted: 2026-07-06
- [ ] https://job-boards.eu.greenhouse.io/physicsx/jobs/4960268101 | PhysicsX | Forward Deployed Software Engineer | London, United Kingdom | posted: 2026-08-25
- [ ] https://job-boards.eu.greenhouse.io/physicsx/jobs/4789202101 | PhysicsX | Principal Machine Learning Infrastructure Engineer | London, United Kingdom | posted: 2026-04-13
- [ ] https://job-boards.eu.greenhouse.io/physicsx/jobs/4930148101 | PhysicsX | Principal Solutions Engineer - Aerospace & Defense | New York, United States | posted: 2026-07-16
- [ ] https://job-boards.eu.greenhouse.io/physicsx/jobs/4839390101 | PhysicsX | Senior Forward Deployed Software Engineer | New York, United States | posted: 2026-04-21
- [ ] https://job-boards.eu.greenhouse.io/physicsx/jobs/4944273101 | PhysicsX | Senior Machine Learning Infrastructure Engineer, Research | Singapore | posted: 2026-08-06
- [ ] https://wayve.firststage.co/jobs?gh_jid=8693131002 | Wayve | Customer Integration Engineer | Germany | posted: 2026-08-11
- [ ] https://wayve.firststage.co/jobs?gh_jid=8737803002 | Wayve | Director AI Integration and Applications | Detroit; Sunnyvale | posted: 2026-08-24
- [ ] https://wayve.firststage.co/jobs?gh_jid=8702742002 | Wayve | Product Manager, AI Driver | Germany | posted: 2026-08-14
- [ ] https://wayve.firststage.co/jobs?gh_jid=8655859002 | Wayve | Senior Machine Learning Engineer, AI Performance | London | posted: 2026-08-04
- [ ] https://wayve.firststage.co/jobs?gh_jid=8745604002 | Wayve | Senior Network & Infrastructure Engineer | Israel | posted: 2026-08-25
- [ ] https://wayve.firststage.co/jobs?gh_jid=8615440002 | Wayve | Senior Site Reliability Engineer, Vehicle SW | Germany | posted: 2026-07-02
- [ ] https://wayve.firststage.co/jobs?gh_jid=8610265002 | Wayve | Senior Software Engineer (Product, AI Portal) | London | posted: 2026-06-30
- [ ] https://wayve.firststage.co/jobs?gh_jid=8458272002 | Wayve | Senior SRE, AI Infrastructure | London | posted: 2026-03-11
- [ ] https://wayve.firststage.co/jobs?gh_jid=8728803002 | Wayve | Site Reliability Engineering Manager, Vehicle Software | Sunnyvale | posted: 2026-08-25
- [ ] https://wayve.firststage.co/jobs?gh_jid=8758604002 | Wayve | Site Reliability Engineer, Vehicle Software | Sunnyvale | posted: 2026-08-30
- [ ] https://wayve.firststage.co/jobs?gh_jid=8422027002 | Wayve | Software Integration Engineer (6 months Contract) | Detroit | posted: 2026-02-13
- [ ] https://wayve.firststage.co/jobs?gh_jid=8624759002 | Wayve | Solutions Architect | London | posted: 2026-07-09
- [ ] https://wayve.firststage.co/jobs?gh_jid=8537458002 | Wayve | Staff SRE, AI Infrastructure | London | posted: 2026-05-06
- [ ] https://wayve.firststage.co/jobs?gh_jid=8567734002 | Wayve | System Integration Engineer | Sunnyvale | posted: 2026-05-28
- [ ] https://wayve.firststage.co/jobs?gh_jid=8542296002 | Wayve | Systems Engineer, AI Validation | Sunnyvale | posted: 2026-06-03
- [ ] https://wayve.firststage.co/jobs?gh_jid=8555774002 | Wayve | System Test Automation Engineer, HIL | Germany | posted: 2026-05-19
- [ ] https://wayve.firststage.co/jobs?gh_jid=8756182002 | Wayve | Triage Automation Engineer | Sunnyvale | posted: 2026-08-28
- [ ] https://jobs.ashbyhq.com/synthesia/163816a3-11d0-4f20-b138-6629c73e3886 | Synthesia | Solutions Architect | Remote · Austin · United States | posted: 2025-11-21
- [ ] https://jobs.ashbyhq.com/synthesia/4721d2c3-3d94-45d3-b9f7-ea5e1f549ce2 | Synthesia | Product Designer, AI-Native Products (Staff-Level / L6) | Europe · London · United Kingdom · Remote | posted: 2026-06-03
- [ ] https://jobs.lever.co/palantir/fa93a1f8-dc95-40d0-b5ca-f2aebaab0806 | Palantir | Deployment Strategist - Japan Forward Deployed | Washington, D.C. | posted: 2024-10-03
- [ ] https://jobs.lever.co/palantir/1a53939d-8ffa-4570-b31a-6d0bc53fdb59 | Palantir | Deployment Strategist - Korea Forward Deployed | Washington, D.C. | posted: 2024-10-03
- [ ] https://jobs.lever.co/palantir/51ea4a3b-7764-4c87-96e4-310e19c856d5 | Palantir | DevOps Engineer | Washington, D.C. | posted: 2018-06-28
- [ ] https://jobs.lever.co/palantir/3d06b4bc-6a7b-4f73-b5c5-4544354e3d0f | Palantir | Edge Infrastructure Engineer | Warsaw, Poland | posted: 2026-05-01
- [ ] https://jobs.lever.co/palantir/636fc05c-d348-4a06-be51-597cb9e07488 | Palantir | Forward Deployed AI Engineer | New York, NY | posted: 2024-03-22
- [ ] https://jobs.lever.co/palantir/00c2c97b-8514-4617-9883-e53e486b6dcd | Palantir | Forward Deployed Enablement Engineer - Customer Success | London, United Kingdom | posted: 2024-11-12
- [ ] https://jobs.lever.co/palantir/96a0ce26-cf84-4fa8-934b-acc4363620b2 | Palantir | Forward Deployed Engineer - Mixed Reality | Washington, D.C. | posted: 2025-02-07
- [ ] https://jobs.lever.co/palantir/72e51928-07f0-4be0-aae5-0ae6956a4846 | Palantir | Forward Deployed Infrastructure Engineer - UK Government | London, United Kingdom | posted: 2025-08-07
- [ ] https://jobs.lever.co/palantir/0fccbe95-2520-4df3-8600-7897656c06a2 | Palantir | Forward Deployed Infrastructure Engineer - US Government | Honolulu, HI | posted: 2026-05-04
- [ ] https://jobs.lever.co/palantir/cadc0eb2-2703-43e4-8e4f-41edf5b071c6 | Palantir | Forward Deployed Infrastructure Engineer, New Grad - UK Government | London, United Kingdom | posted: 2026-08-31
- [ ] https://jobs.lever.co/palantir/33243fb5-6907-40c7-930c-968b25d825d0 | Palantir | Forward Deployed Infrastructure Engineer, New Grad - US Government | Palo Alto, CA | posted: 2025-10-29
- [ ] https://jobs.lever.co/palantir/5a99fe16-1bda-4313-ace2-a11ea6e58f0c | Palantir | Forward Deployed Reliability Engineer | London, United Kingdom | posted: 2026-04-22
- [ ] https://jobs.lever.co/palantir/22053072-4c22-49c4-8299-28e107ceeb98 | Palantir | Forward Deployed Security Engineer - US Government | Washington, D.C. | posted: 2026-03-09
- [ ] https://jobs.lever.co/palantir/a194220b-684a-4b4e-b918-1f70154b464c | Palantir | Forward Deployed Site Reliability Engineer - US Government | Washington, D.C. | posted: 2025-05-29
- [ ] https://jobs.lever.co/palantir/1bb19522-3936-4adc-9ced-c3df8b5900b9 | Palantir | Forward Deployed Software Engineer | Seoul, South Korea | posted: 2022-04-22
- [ ] https://jobs.lever.co/palantir/27bf5707-96fa-460e-8a5b-53bc192ca87b | Palantir | Forward Deployed Software Engineer - Edge Autonomous Systems | Washington, D.C. | posted: 2025-10-07
- [ ] https://jobs.lever.co/palantir/909875b4-1940-41bd-b08d-a269c7235100 | Palantir | Forward Deployed Software Engineer - AUS Government | Sydney, Australia | posted: 2024-09-05
- [ ] https://jobs.lever.co/palantir/0edf7365-49f0-4263-818a-19409ec4f430 | Palantir | Forward Deployed Software Engineer - Autonomous Systems C2 | Seattle, WA | posted: 2026-01-16
- [ ] https://jobs.lever.co/palantir/34b3a697-6e22-4751-befd-0b7921abbd5f | Palantir | Forward Deployed Software Engineer - Intel | Washington, D.C. | posted: 2021-10-18
- [ ] https://jobs.lever.co/palantir/8aba5995-653d-4805-96e8-24488e6abf37 | Palantir | Forward Deployed Software Engineer - Japan Forward Deployed | Washington, D.C. | posted: 2024-10-03
- [ ] https://jobs.lever.co/palantir/12e94938-55cb-4ad9-9c05-405ebc9ef430 | Palantir | Forward Deployed Software Engineer - Japan Government | Tokyo, Japan | posted: 2025-03-07
- [ ] https://jobs.lever.co/palantir/a39bf84c-6648-4871-bd07-9b882d401c4c | Palantir | Forward Deployed Software Engineer - Korea Forward Deployed | Washington, D.C. | posted: 2024-10-03
- [ ] https://jobs.lever.co/palantir/73d1a90c-162d-4cb6-9e0c-4c8de9561ad0 | Palantir | Forward Deployed Software Engineer - NATO | London, United Kingdom | posted: 2026-07-23
- [ ] https://jobs.lever.co/palantir/0a0d2db2-75a5-48e4-b0a0-81baa6588e36 | Palantir | Forward Deployed Software Engineer - Norwegian Government | Oslo, Norway | posted: 2026-06-15
- [ ] https://jobs.lever.co/palantir/53fb4c05-f949-4146-a046-5c063c36a628 | Palantir | Forward Deployed Software Engineer - Spain | Madrid, Spain | posted: 2026-06-29
- [ ] https://jobs.lever.co/palantir/3d0d9d92-0321-4459-a17d-fa1a76636a43 | Palantir | Forward Deployed Software Engineer - Tactical Edge | Washington, D.C. | posted: 2026-03-02
- [ ] https://jobs.lever.co/palantir/57a3f928-e7d3-4037-8196-b38e2f867152 | Palantir | Forward Deployed Software Engineer - UK Government | London, United Kingdom | posted: 2023-01-11
- [ ] https://jobs.lever.co/palantir/289ad049-7b4e-41e3-8a39-146fbeb6fb64 | Palantir | Forward Deployed Software Engineer - US Government | Washington, D.C. | posted: 2020-04-15
- [ ] https://jobs.lever.co/palantir/be4ab5cb-9caa-4c2a-97b9-c73805fca4fc | Palantir | Forward Deployed Software Engineer - US Government - Federal Health and Civilian | New York, NY | posted: 2026-05-07
- [ ] https://jobs.lever.co/palantir/13f99633-43b5-4459-8e84-25073f257c18 | Palantir | Forward Deployed Software Engineer - Warp Speed | New York, NY | posted: 2025-02-07
- [ ] https://jobs.lever.co/palantir/2aa14e4f-d406-486e-9aa8-6ff3358d70a0 | Palantir | Forward Deployed Software Engineer, New Grad - Commercial | London, United Kingdom | posted: 2025-08-01
- [ ] https://jobs.lever.co/palantir/fbca0358-083a-4222-bdbb-3bd729b48382 | Palantir | Forward Deployed Software Engineer, New Grad - Intel, US Government | Washington, D.C. | posted: 2026-06-15
- [ ] https://jobs.lever.co/palantir/b4aa51a2-bc43-4d67-bf55-12db7feefb3a | Palantir | Forward Deployed Software Engineer, New Grad - UK Government | London, United Kingdom | posted: 2021-07-01
- [ ] https://jobs.lever.co/palantir/cbe90327-3e6e-451c-a54c-1d3cbcef5aeb | Palantir | Forward Deployed Software Engineer, New Grad - US Government | Washington, D.C. | posted: 2022-06-30
- [ ] https://jobs.lever.co/palantir/1e77a5e8-9843-4516-a186-7c24f0ff07a0 | Palantir | Information Security Engineer - Infrastructure Security | New York, NY | posted: 2026-04-16
- [ ] https://jobs.lever.co/palantir/211f99dc-269e-4f25-84d3-d73dea782080 | Palantir | Site Reliability Engineer - US Government | Washington, D.C. | posted: 2020-04-22
- [ ] https://jobs.lever.co/palantir/5174e95b-2e0a-46f8-8db7-e2c837a0ac94 | Palantir | Site Reliability Operations Analyst - Commercial | New York, NY | posted: 2023-11-28
- [ ] https://jobs.lever.co/palantir/38758e88-5884-4a11-98ac-d23cab51bc7a | Palantir | Site Reliability Operations Analyst - US Government | Washington, D.C. | posted: 2020-04-13
- [ ] https://jobs.lever.co/palantir/67110929-adea-41c3-851a-8882e222d9e4 | Palantir | Software Engineer - Edge AI Systems | Seattle, WA | posted: 2026-07-22
- [ ] https://jobs.ashbyhq.com/faculty/fd99c104-65b4-4fca-b68e-0ab9170da31f | Faculty | Senior Research Scientist - AI Safety | UK - London | posted: 2026-07-22
- [ ] https://jobs.ashbyhq.com/faculty/d2d0ef45-de48-4c48-9781-5c85c9d49f42 | Faculty | Head of AI Validation | UK - London | posted: 2026-06-15
- [ ] https://jobs.ashbyhq.com/faculty/7e726de6-6327-40cd-a00d-0e9be34e1cb4 | Faculty | Technical Director of AI Safety | UK - London | posted: 2026-03-18
- [ ] https://jobs.ashbyhq.com/faculty/e3f544c9-e520-4799-ab4d-c0b3cb050760 | Faculty | Lead Forward Deployed Engineer | UK - London | posted: 2026-05-15
- [ ] https://jobs.ashbyhq.com/faculty/6c0abf94-8d61-459b-b094-49307a595c60 | Faculty | Senior Research Scientist - AI Safety Evaluations | UK - London | posted: 2026-07-23
- [ ] https://jobs.ashbyhq.com/faculty/188ecaba-2f9c-4a15-a86b-dc2f369f03bd | Faculty | Research Scientist - AI Safety | UK - London | posted: 2026-08-06
- [ ] https://jobs.ashbyhq.com/faculty/87b95736-0abf-4b18-b628-0083d52ec961 | Faculty | Forward Deployed Engineer | UK - London | posted: 2026-08-10
- [ ] https://jobs.ashbyhq.com/faculty/c7d3b4b9-fe50-4ebd-8f55-9c6c014014e8 | Faculty | Senior Forward Deployed Engineer | UK - London | posted: 2026-08-10
- [ ] https://jobs.ashbyhq.com/causaly/b197dd4a-dded-4f35-ab09-3bf757b64d2a | Causaly | Senior Software Engineer - Agentic Workflows | London | posted: 2026-07-06
- [ ] https://jobs.ashbyhq.com/causaly/99f31334-aef3-4e52-a969-1a2a08368016 | Causaly | Staff Software Engineer - Agentic Workflows | London | posted: 2026-07-06
- [ ] https://jobs.ashbyhq.com/causaly/0d240789-10ba-4a84-89fc-76f7e62079c0 | Causaly | Senior AI Engineer | London | posted: 2026-03-04
- [ ] https://jobs.lever.co/qonto/ace090d6-0f9c-4d35-81bf-992a6bd41d95 | Qonto | Senior Product Designer - Qonto AI Lab | Paris; Berlin; Barcelona; Milan | posted: 2025-08-28
- [ ] https://jobs.lever.co/qonto/43534df4-1d0d-4a85-884d-b367342c06f3 | Qonto | Site Reliability Engineer (Storage) - remote friendly | Paris; Berlin; Milan; Belgrade; Barcelona | posted: 2023-04-12
- [ ] https://jobs.lever.co/qonto/471e0021-d630-4cd1-81c3-2fb2e9dc253c | Qonto | Staff Machine Learning Engineer for AI Product | Paris; Barcelona; Milan; Berlin | posted: 2021-04-12
- [ ] https://jobs.ashbyhq.com/lovable/ac61dda2-bff0-4f22-adca-a48b0b2f560c | Lovable | Solutions Architect, San Francisco | San Francisco | posted: 2026-08-27
- [ ] https://jobs.ashbyhq.com/lovable/7fe39289-1f7f-47d4-8002-d3aeeaaaabc6 | Lovable | Forward Deployed Engineer | London · San Francisco · United States · Boston · New York | posted: 2026-06-22
- [ ] https://jobs.ashbyhq.com/lovable/1140665c-a426-49d5-bcdd-f78560efe50d | Lovable | Product Manager (Agents) | Stockholm | posted: 2026-08-13
- [ ] https://jobs.ashbyhq.com/lovable/59d85cf1-104b-48cb-956c-bed73ef934c9 | Lovable | AI Research Engineer, Post-Training | Stockholm · London · United Kingdom | posted: 2026-04-28
- [ ] https://jobs.ashbyhq.com/lovable/df79d83b-e366-4998-afdd-694d06183d75 | Lovable | Brand Designer, AI & Ops | London · Stockholm · Sweden | posted: 2026-08-06
- [ ] https://jobs.ashbyhq.com/lovable/a1e49a18-7533-450f-b760-cef337f2f9e3 | Lovable | Data Scientist, Agent | Stockholm · London · United Kingdom | posted: 2026-08-06
- [ ] https://jobs.ashbyhq.com/lovable/8dd92c40-b45d-41b2-ae6b-1680b0a05d92 | Lovable | AI Ops Engineer (People Team) | Stockholm | posted: 2026-08-06
- [ ] https://jobs.ashbyhq.com/lovable/522e925e-ede2-4659-8b8b-1122d4ad7ab0 | Lovable | Staff / Principal Software Engineer, Infrastructure Security | Stockholm | posted: 2026-08-14
- [ ] https://jobs.ashbyhq.com/lovable/ac86ab57-ff2e-4a49-83f8-51dd6bbc2cbf | Lovable | AI Ops Engineer (FBOS) | Stockholm | posted: 2026-08-27
- [ ] https://jobs.ashbyhq.com/lovable/3944f55e-910f-4248-ba28-2c1e6143eb28 | Lovable | AI Scaled Customer Success Programs | Boston | posted: 2026-08-28
- [ ] https://jobs.ashbyhq.com/lovable/2bad82d6-3fd0-42a2-afbf-f1e9511057d4 | Lovable | Forward Deployed Engineering Lead | New York · Stockholm · Sweden | posted: 2026-08-31
- [ ] https://jobs.ashbyhq.com/legora/f3c0712a-f8e2-4dc1-8e83-23da7891a1c2 | Legora | Solutions Engineer | New York City | posted: 2026-04-01
- [ ] https://jobs.ashbyhq.com/legora/04f2f382-7760-4f42-a7da-f85ae8de8a62 | Legora | Senior Site Reliability Engineer | New York City | posted: 2026-08-21
- [ ] https://jobs.ashbyhq.com/legora/f81a4b5e-7ef3-4946-a147-f6c0645e98ca | Legora | AI Software Engineer | Stockholm HQ | posted: 2026-08-20
- [ ] https://jobs.ashbyhq.com/legora/c6d79161-748c-43a4-a762-95826ed8847f | Legora | Site Reliability Engineer | Stockholm HQ · Malmö · Sweden | posted: 2026-04-14
- [ ] https://jobs.ashbyhq.com/legora/c7a8d50e-c7f9-4a65-984d-dfa9239335e7 | Legora | Staff Site Reliability Engineer | New York City | posted: 2026-08-21
- [ ] https://jobs.ashbyhq.com/legora/6dae34ec-2164-46de-bec7-a877b96a0f7c | Legora | AI Marketing Engineer | New York City | posted: 2026-06-09
- [ ] https://jobs.ashbyhq.com/legora/30a136af-1a4e-44b3-9424-38482821773b | Legora | AI Enablement Manager | Stockholm HQ | posted: 2026-08-27
- [ ] https://jobs.ashbyhq.com/legora/3f80dbce-825a-45f9-8180-f3dcfc153086 | Legora | Solutions Engineer, London | London | posted: 2026-06-23
- [ ] https://jobs.ashbyhq.com/legora/d107905d-b2ef-4964-834b-a17d6e93e971 | Legora | Director, Cloud & AI Partnerships | New York City | posted: 2026-06-26
- [ ] https://jobs.ashbyhq.com/legora/d1c6f3d2-50d5-4787-ac21-5d8df0a6ddc2 | Legora | AI Adoption Manager - Communities | London | posted: 2026-07-30
- [ ] https://jobs.ashbyhq.com/legora/34c4aecc-a808-480b-a585-61e489b0eac4 | Legora | Associate, Applied Behavioural Research, AI Transformation | London | posted: 2026-08-18
- [ ] https://jobs.ashbyhq.com/legora/42e89f02-54d8-4df8-bda8-4107bbb7bab5 | Legora | Solutions Engineer - Paris | Paris | posted: 2026-08-25
- [ ] https://jobs.ashbyhq.com/legora/33abe455-786f-4054-b315-140b16f33c1e | Legora | Solutions Engineer - Munich | Munich | posted: 2026-08-25
- [ ] https://jobs.ashbyhq.com/legora/898c9e9f-74e2-4bb1-8ff2-ef23b8ab9452 | Legora | Solutions Engineer - Madrid | Madrid | posted: 2026-08-25
- [ ] https://jobs.ashbyhq.com/legora/5a51ffc6-f780-4c55-b130-5fc9ad51c31f | Legora | Solutions Engineer - Milan | Milan | posted: 2026-08-25
- [ ] https://jobs.lever.co/pigment/15e7b82c-ebf3-477c-96b5-96a3b25e0663 | Pigment | AI Deployment Strategist | Toronto | posted: 2026-06-08
- [ ] https://jobs.lever.co/pigment/a204cd46-bdae-4a7b-8c79-814432fcaf21 | Pigment | AI Product Designer | France | posted: 2026-01-14
- [ ] https://jobs.lever.co/pigment/b0e6f446-27dd-40d2-a89a-327cf5146314 | Pigment | Business Transformation Advisory | UK | posted: 2026-07-01
- [ ] https://jobs.lever.co/pigment/abde6aa1-a569-4700-998b-152187e2721b | Pigment | Optimisation AI Scientist | London or Paris | posted: 2026-07-22
- [ ] https://jobs.lever.co/pigment/01e58869-2094-4757-9315-b0972eb1d5c1 | Pigment | Senior AI Scientist | France; London | posted: 2024-04-12
- [ ] https://jobs.lever.co/pigment/373b9e9c-59a2-4e0b-91e8-cf1c49db444b | Pigment | Senior Back-End Infrastructure Engineer | Paris; London | posted: 2026-08-20
- [ ] https://jobs.lever.co/pigment/39662985-9160-45be-8363-352c69edeeef | Pigment | Senior GenAI Engineer | France | posted: 2025-06-20
- [ ] https://jobs.lever.co/pigment/fb659c21-bd62-4b67-ade9-1b7f55e7f1cf | Pigment | Solutions Architect - UK | London | posted: 2025-08-04
- [ ] https://jobs.ashbyhq.com/corti/3155c7b6-f7cc-424e-8e90-176b579446b7 | Corti | Senior Backend Engineer, Agents and Speech Recognition | Copenhagen, Denmark | posted: 2026-08-07
- [ ] https://jobs.ashbyhq.com/pleo/7d2f446b-bfba-4859-bf30-ce64301b4f9b | Pleo | Senior Applied AI Engineer | United Kingdom · Denmark · Portugal · Spain · Remote | posted: 2026-08-14
- [ ] https://jobs.ashbyhq.com/pleo/3f30df79-b7b7-4dd2-8ebd-4c1f2bba15e2 | Pleo | Staff Applied AI Engineer | United Kingdom · Denmark · Portugal · Spain · Remote | posted: 2026-08-18
- [ ] https://jobs.lever.co/spotify/9d90d15c-541b-4360-bdaf-c6a5e9479e8a | Spotify | Automation (Programmatic) Lead - London | London | posted: 2026-08-25
- [ ] https://jobs.lever.co/spotify/6c591c8a-9aeb-4760-ace1-1942da31aca9 | Spotify | Marketing Technology Manager | New York, NY | posted: 2026-07-17
- [ ] https://jobs.lever.co/spotify/331d11c6-6056-45b4-8bd6-d289978b1919 | Spotify | Multilingual AI Quality Specialist | Stockholm; London | posted: 2026-07-14
- [ ] https://jobs.lever.co/spotify/3cf07bc7-2b9f-4531-af88-a09cfdf7b3ab | Spotify | Senior Machine Learning Engineer, Personalization, Magenta | New York, NY | posted: 2026-05-07
- [ ] https://jobs.lever.co/spotify/17a75d93-835d-40ce-b31e-0c381b49f40a | Spotify | Senior Product Quality Analyst - AI Voice | New York, NY; Los Angeles, CA | posted: 2026-08-17
- [ ] https://jobs.lever.co/spotify/c73be71c-1a63-4906-9925-95f2115d1f1d | Spotify | Senior Software Engineer - Enterprise AI | New York, NY | posted: 2026-08-13
- [ ] https://job-boards.eu.greenhouse.io/amplemarket/jobs/4066888101 | Amplemarket | Spontaneous Application - Infrastructure Engineer | Remote, EMEA/LATAM | posted: 2022-08-26
- [ ] https://jobs.ashbyhq.com/perplexity/8a976851-9bef-4b07-8d36-567fa9540aef | Perplexity | Member of Technical Staff (AI Inference Engineer) | San Francisco · Palo Alto · United States · New York City | posted: 2026-04-13
- [ ] https://jobs.ashbyhq.com/perplexity/598e1f7d-b802-4de2-99ac-90eb2bc33315 | Perplexity | Member of Technical Staff (AI Infrastructure Engineer) | San Francisco · Palo Alto · United States | posted: 2026-04-13
- [ ] https://jobs.ashbyhq.com/perplexity/dd80ab52-34bd-42af-aa5e-6283b7e6c194 | Perplexity | Member of Technical Staff (Backend/Infrastructure Engineer, Search) | Belgrade · London · United Kingdom · Berlin · Germany | posted: 2025-03-07
- [ ] https://jobs.ashbyhq.com/perplexity/8fe61c73-0daf-4432-a47d-44714c1ef764 | Perplexity | Member of Technical Staff (AI Researcher) | San Francisco · Palo Alto · United States | posted: 2026-08-25
